,Zip Code,Offense
1674,64134.0,401
1675,64134.0,501
1676,64118.0,640
1677,64130.0,302
1678,64114.0,640
1679,64109.0,403
1681,64111.0,640
1682,64129.0,640
1684,64124.0,301
1685,64106.0,650
1687,64137.0,831
1688,64109.0,1401
1689,64111.0,1850
1690,64130.0,802
1691,64134.0,501
1693,64124.0,2601
1695,64132.0,401
1697,64131.0,801
1698,64132.0,502
1700,64157.0,690
1701,64129.0,2601
1702,64106.0,1546
1703,64133.0,1120
1704,64118.0,201
1706,64119.0,501
1707,64123.0,1850
1709,64130.0,302
1710,64134.0,650
1711,64131.0,1188
1713,64112.0,1120
1714,64118.0,501
1716,64114.0,501
1718,64132.0,2601
1719,64157.0,502
1720,64134.0,401
1721,64126.0,501
1722,64118.0,1401
1723,64131.0,650
1724,64114.0,650
1725,64128.0,640
1727,64130.0,1849
1728,64126.0,501
1729,64130.0,501
1730,64151.0,670
1731,64127.0,2655
1732,64109.0,670
1735,64108.0,501
1736,64130.0,201
1737,64127.0,702
1738,64137.0,690
1739,64109.0,640
1740,64134.0,402
1741,64114.0,690
1742,64151.0,630
1743,64109.0,702
1744,64133.0,501
1745,64108.0,650
1747,64124.0,702
1748,64130.0,802
1749,64111.0,670
1750,64106.0,2601
1751,64128.0,1401
1752,64145.0,1002
1753,64112.0,1120
1754,64106.0,702
1755,64106.0,403
1756,64109.0,802
1757,64129.0,501
1758,64132.0,702
1759,64138.0,802
1760,64130.0,1401
1761,64132.0,640
1762,64132.0,501
1763,64133.0,1401
1764,64118.0,1401
1765,64132.0,702
1766,64131.0,901
1767,64127.0,201
1769,64127.0,502
1770,64130.0,802
1771,64128.0,401
1772,64116.0,501
1773,64111.0,802
1774,64126.0,1401
1776,64106.0,2601
1777,64106.0,690
1779,64111.0,630
1780,0.0,1122
1781,64128.0,702
1782,64101.0,640
1783,64134.0,801
1784,64133.0,670
1785,64111.0,831
1786,64152.0,501
1787,64128.0,401
1788,64109.0,670
1789,64132.0,501
1790,64110.0,2655
1791,64155.0,690
1792,64105.0,1401
1793,64110.0,1198
1794,64118.0,403
1795,64130.0,802
1796,64111.0,801
1797,64127.0,702
1798,64131.0,501
1799,64127.0,2601
1800,64152.0,690
1801,64127.0,1849
1802,64145.0,802
1803,64111.0,670
1804,64109.0,302
1805,64130.0,501
1806,64157.0,802
1807,64129.0,840
1808,64134.0,501
1809,64155.0,670
1810,64134.0,2601
1811,64131.0,2601
1812,64110.0,630
1813,64119.0,501
1814,64114.0,302
1816,64111.0,1401
1818,64126.0,501
1819,64132.0,802
1820,64131.0,501
1821,64152.0,3020
1822,64127.0,501
1828,64117.0,501
1829,64133.0,1401
1830,64126.0,640
1831,64110.0,630
1832,64130.0,802
1834,64128.0,401
1836,64123.0,501
1837,64132.0,831
1838,64130.0,1401
1840,64124.0,2100
1841,64129.0,801
1842,64119.0,802
1843,64112.0,640
1844,64118.0,401
1846,64124.0,702
1848,64124.0,2655
1849,64123.0,702
1850,64130.0,901
1851,64130.0,302
1852,64134.0,1002
1853,64123.0,640
1854,64111.0,670
1855,64111.0,640
1856,64123.0,802
1857,64111.0,1170
1859,64117.0,640
1860,64130.0,1401
1862,64110.0,302
1863,64106.0,2601
1864,64130.0,690
1865,64199.0,630
1866,64111.0,1850
1867,64132.0,2604
1868,64129.0,401
1869,64123.0,630
1870,64106.0,650
1871,64137.0,702
1872,64114.0,1122
1873,64111.0,501
1874,64126.0,650
1875,64127.0,702
1876,64109.0,801
1877,64134.0,801
1878,64106.0,301
1879,64152.0,2601
1880,64110.0,1401
1881,64127.0,2655
1883,64118.0,702
