,Offense,Age,Month,Day,Year
732,1850,26.0,06,18,2015
733,403,31.0,10,18,2015
734,1849,,02,09,2015
735,2655,,07,04,2015
736,401,,11,17,2015
737,840,28.0,11,18,2015
738,401,47.0,06,28,2015
739,1849,,12,01,2015
740,302,33.0,11,16,2015
741,801,23.0,04,29,2015
742,1850,,10,16,2015
743,1850,,11,17,2015
744,640,,10,16,2015
745,801,27.0,01,17,2015
746,799,,08,06,2015
747,801,,10,06,2015
748,690,,09,10,2015
749,690,,11,16,2015
750,1352,47.0,04,29,2015
751,1401,35.0,07,13,2015
752,799,,05,14,2015
753,801,20.0,08,12,2015
754,2402,,09,27,2015
755,2100,24.0,11,21,2015
756,801,,08,22,2015
757,2402,,01,18,2015
758,2601,19.0,07,15,2015
759,403,23.0,08,24,2015
760,301,64.0,11,21,2015
761,801,25.0,05,30,2015
762,650,,12,14,2015
763,301,48.0,03,11,2015
764,801,43.0,08,14,2015
765,801,,07,30,2015
766,1850,47.0,10,25,2015
767,702,,09,18,2015
768,2041,41.0,04,07,2015
769,1849,,02,28,2015
770,702,21.0,07,01,2015
771,2100,40.0,03,28,2015
772,401,20.0,10,22,2015
773,702,,11,15,2015
774,1850,29.0,11,11,2015
775,301,,08,09,2015
776,1850,,10,17,2015
777,1352,,11,24,2015
778,401,30.0,12,13,2015
779,640,,01,29,2015
780,670,,01,10,2015
781,702,,07,29,2015
782,301,,07,29,2015
783,702,,08,22,2015
784,1849,,10,09,2015
785,801,58.0,11,28,2015
786,690,32.0,07,16,2015
787,1401,,09,26,2015
788,802,18.0,04,10,2015
789,1849,,07,10,2015
790,1849,,10,07,2015
791,1849,,03,11,2015
792,402,50.0,10,02,2015
793,1770,,09,18,2015
794,401,57.0,09,11,2015
795,401,26.0,12,14,2015
796,802,24.0,04,27,2015
797,2100,26.0,04,17,2015
798,2601,22.0,11,22,2015
799,1849,,11,03,2015
800,302,,08,26,2015
801,799,22.0,09,16,2015
802,1849,,08,19,2015
803,2601,46.0,03,12,2015
804,690,,11,20,2015
805,1401,,10,13,2015
806,801,,06,29,2015
807,702,,06,19,2015
808,801,19.0,05,09,2015
809,1849,21.0,08,09,2015
810,1401,45.0,06,26,2015
811,690,,10,21,2015
812,2402,20.0,10,16,2015
813,802,33.0,10,08,2015
814,1401,20.0,07,18,2015
815,801,31.0,09,14,2015
816,2402,,07,28,2015
817,799,,09,02,2015
818,801,31.0,09,14,2015
819,2100,27.0,11,07,2015
820,301,22.0,10,22,2015
821,801,26.0,11,28,2015
822,2601,,03,07,2015
823,801,,04,29,2015
824,1849,,05,23,2015
825,702,,08,05,2015
826,1849,45.0,06,08,2015
827,302,,12,27,2015
828,650,,06,07,2015
829,1849,18.0,08,22,2015
830,2402,,04,04,2015
831,1849,,02,21,2015
832,401,25.0,12,14,2015
833,840,,03,24,2015
834,640,,04,19,2015
835,401,19.0,05,08,2015
836,1401,22.0,06,15,2015
837,302,46.0,02,11,2015
838,302,,05,25,2015
839,1850,33.0,03,03,2015
840,301,21.0,07,26,2015
841,802,24.0,10,07,2015
842,1849,,07,26,2015
843,1651,33.0,05,07,2015
844,2402,,12,16,2015
845,1849,58.0,03,07,2015
846,840,39.0,06,16,2015
847,1850,,07,16,2015
848,302,36.0,12,12,2015
849,690,,04,01,2015
850,1652,,12,10,2015
851,802,,11,04,2015
852,1849,,05,02,2015
853,690,,09,25,2015
854,690,59.0,11,20,2015
855,2601,,06,12,2015
856,1849,55.0,08,16,2015
857,2655,,09,05,2015
858,640,,11,03,2015
859,1850,20.0,03,24,2015
860,2655,38.0,04,11,2015
861,2402,,06,16,2015
862,3067,31.0,01,30,2015
863,2100,,,,
864,801,,06,18,2015
865,1849,,04,02,2015
866,401,32.0,11,18,2015
867,401,25.0,07,05,2015
868,702,,04,09,2015
869,301,,03,21,2015
870,840,,10,17,2015
871,801,21.0,11,19,2015
872,1401,47.0,09,20,2015
873,1849,30.0,06,28,2015
874,702,,03,07,2015
875,840,22.0,10,16,2015
876,2402,30.0,11,05,2015
877,1850,40.0,06,25,2015
878,2661,,05,03,2015
879,702,58.0,09,16,2015
880,1849,,10,07,2015
881,2403,,03,07,2015
882,1849,,02,05,2015
883,301,,12,04,2015
884,802,49.0,09,16,2015
885,302,23.0,08,26,2015
886,401,,,,
887,620,29.0,01,02,2015
888,301,,07,29,2015
889,3079,41.0,05,14,2015
890,702,37.0,08,05,2015
891,301,,07,14,2015
892,2100,,06,14,2015
893,401,,11,21,2015
894,1652,,05,08,2015
895,1849,,12,05,2015
896,799,,01,02,2015
897,799,,05,27,2015
898,1850,,05,15,2015
899,2100,38.0,01,22,2015
900,840,,07,24,2015
901,2601,43.0,08,21,2015
902,1849,,05,27,2015
903,1849,,01,25,2014
904,799,,09,02,2015
905,2601,,06,30,2015
906,401,,12,03,2015
907,301,,05,23,2015
908,1849,20.0,02,19,2015
909,2402,,09,11,2015
910,2655,27.0,06,09,2015
911,1850,41.0,02,07,2015
912,1849,30.0,04,29,2015
913,1849,,11,12,2015
914,840,,06,13,2015
915,640,55.0,06,24,2015
916,1120,25.0,10,13,2015
917,1849,,04,12,2015
918,840,,08,31,2015
919,702,39.0,11,29,2015
920,1651,,10,09,2015
921,301,,10,27,2015
922,702,46.0,01,29,2015
923,2100,,09,07,2015
924,1849,,03,21,2015
925,1352,,01,01,2015
926,690,33.0,01,11,2015
927,1401,55.0,03,13,2015
928,1401,23.0,05,25,2015
929,2201,56.0,06,07,2015
930,702,31.0,10,09,2015
